Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Ващук,Михайлина,Тарасівна,Жінка,1998-07-18,Євнух,місто Ходорів,"проспект Фруктовий, буд. 01, Щолкіне, 94258",+380 31 687-98-47,ozubko@example.net
Джус,Стефан,Костянтинович,Чоловік,1952-04-24,Модельєр,селище Броди,"шосе Дунаєвського 2-й, буд. 778 кв. 062, Ніжин, 91563",029 020 84 94,ovyshniak@example.org
Шелест,Тимофій,Ярославович,Чоловік,2001-11-03,Живописець,місто Лиман ,"узвіз Дніпровська, буд. 064 кв. 19, Кальміуське, 46981",857 51 65,petrenkovarfolomii@example.org
Якимчук,Семен,Павлович,Чоловік,1969-12-16,Клавішник,селище Городок,"сквер Бірюкова, буд. 76 кв. 6, Вознесенівка, 37196",+380 46 796-07-14,shovkopliasiosyp@example.net
Стельмах,Прохір,Костянтинович,Чоловік,1974-06-10,Секретар,хутір Хирів,"узвіз Яші Гордієнка, буд. 97 кв. 971, П'ятихатки, 07052",+380 83 014 98 88,izhakevychodarka@example.com
Яценко,Єфрем,Назарович,Чоловік,1941-04-13,Маркетолог,хутір Гірське,"парк Алмазна, буд. 08 кв. 4, Боярка, 75954",008 044 61 39,hodunokviktoriia@example.com
Деряжний,Сергій,Тарасович,Чоловік,1945-02-28,Співак,село Жмеринка,"площа Проектований 4-й, буд. 734 кв. 8, Олександрівськ, 81955",228-79-42,izaporozhets@example.com
Рябовіл,Мирон,Степанович,Чоловік,1983-11-20,Електромонтажник,село Сквира,"сквер Лиманна, буд. 76, Білозерське, 87642",+380 (54) 765-89-72,okhrimzakusylo@example.org
Карась,Феофан,Степанович,Чоловік,1997-02-20,Бухгалтер,хутір Сокаль,"проспект Сирітський, буд. 67, Монастирище, 68897",003 294-44-90,olena45@example.org
Рябець,Богодар,Святославович,Чоловік,1942-05-22,Маркетолог,місто Гуляйполе,"шосе Пейзажна, буд. 44, Новоселиця, 45314",+380 (57) 943-03-14,orynazaiets@example.com
Вергун,Надія,Олександрівна,Жінка,1973-04-23,Секретар,хутір Іллінці,"провулок Головна, буд. 388, Єнакієве, 43038",179-83-82,dubynaostap@example.com
Пустовіт,Артем,Святославович,Чоловік,1988-10-20,Електромонтажник,село Новомиргород,"вулиця Депутатський, буд. 6 кв. 774, Тернопіль, 29140",+380 (61) 865-50-26,iaroslavadarahan@example.com
Зінкевич,Михайлина,Анатоліївна,Жінка,1980-08-17,Біолог,місто Берислав,"шосе Місячна, буд. 31, Зборів, 77945",029 364-18-58,urebryk@example.net
Вовк,Наталія,Ярославівна,Жінка,1987-03-23,Музичний редактор,селище Ківерці,"шосе Рельєфна, буд. 7, Болград, 94281",+380 (72) 700-59-20,svitlanariabovil@example.com
Карпа,Віталій,Романович,Чоловік,1992-04-28,Продюсер,село Соледар,"шосе Локальна, буд. 2, Липовець, 35859",+380 13 548-24-91,bbaranyk@example.com
Заруба,Миколай,Ярославович,Чоловік,1985-12-27,Кінокритик,село Буча,"парк Цементний, буд. 521 кв. 204, Рівне, 87112",042 141 61 16,telychenkoedyta@example.net
Ірванець,Аарон,Тарасович,Чоловік,1965-11-26,Композитор,місто Здолбунів,"набережна Братська, буд. 467 кв. 295, Українка , 50380",+380 (62) 677-45-33,udovychenkoeduard@example.com
Ящук,Валерій,Юрійович,Чоловік,2006-04-12,Модель,місто Почаїв,"узвіз Амбулаторний, буд. 98 кв. 06, Біляївка, 28692",+380 69 428-52-46,tovstolisandrii@example.com
Нестеренко,Микита,Тарасович,Чоловік,1953-10-06,Ювелір,місто Золотоноша,"набережна Олександра Стурдзи, буд. 0, Заліщики, 68126",971-82-06,erika70@example.net
Данилюк,Марія,Костянтинівна,Жінка,1990-10-06,Фермер,село Хрустальний,"сквер Василя Стуса, буд. 37, Борзна, 66109",079 330 81 46,omelianzinchuk@example.com
Конопленко,Трохим,Тарасович,Чоловік,1997-02-15,Актор,місто Коростишів,"провулок Олександра Невського, буд. 39, Борщів, 72624",031 131 00 16,zubkovalentyna@example.com
Шухевич,Златослава,Данилівна,Жінка,1979-05-08,Електрик,селище Іршава,"вулиця Юрія Яновського, буд. 9, Тисмениця, 89534",033 311 78 26,danylenkoiaroslava@example.net
Радченко,Левко,Тарасович,Чоловік,1987-12-29,Фармацевт,село Новоукраїнка,"площа Світла, буд. 787, Бахмут, 23797",058 336 27 81,hryhoriiiemelianenko@example.net
Онуфрієнко,Орина,Тарасівна,Жінка,1945-03-23,Гінеколог,місто Харків,"набережна Новомосковська дорога, буд. 4, Гайворон, 26482",+380 31 783-52-35,stanislavhaidai@example.com
Цимбал,Соломон,Степанович,Чоловік,1999-01-14,Диригент,селище Конотоп,"площа 3-тя Лінія Марії Демченко, буд. 27 кв. 2, Бібрка, 97156",+380 (65) 178-55-84,akorpaniuk@example.net
Хорішко,Болеслав,Назарович,Чоловік,1988-12-08,Фармацевт,місто Хоростків,"набережна Лютеранський, буд. 8, Бахмач, 78413",+380 (67) 485-26-47,anzhelamoskal@example.com
Данчук,Борис,Павлович,Чоловік,1944-03-07,Фізик,село Тернівка ,"узвіз Тульська, буд. 30, Козятин, 51453",879-82-75,nadiiailienko@example.com
Рубан,Михайлина,Костянтинівна,Жінка,1976-01-05,Складальник,село Зугрес,"вулиця Паустовського, буд. 7, Добропілля, 84398",+380 93 247-53-54,stefan65@example.org
Макаренко,Вікторія,Євгенівна,Жінка,1997-08-15,Етнограф,хутір Дніпрорудне,"площа Сегедська, буд. 5, Коростень, 60907",+380 (71) 080-61-43,bohodar02@example.com
Цимбал,Орест,Романович,Чоловік,2003-07-10,Публіцист,місто Апостолове,"парк Юннатів 2-й, буд. 83 кв. 02, Чистякове, 53655",+380 (50) 660-78-84,chuikoedyta@example.net
Безбородько,Надія,Максимівна,Жінка,1943-10-10,Мінералог,село Козятин,"вулиця Дерибасівська, буд. 3 кв. 808, Вознесенівка, 94251",+380 21 344-25-55,evyshyvanyi@example.org
Шведченко,Георгій,Тарасович,Чоловік,1956-09-28,Геофізик,місто Новий Розділ,"узвіз Складська, буд. 3, Белз, 45732",+380 67 253-38-39,gbairak@example.net
Гайда,Дмитро,Степанович,Чоловік,1979-05-16,Намотувальник,село Герца,"вулиця Ананьївська, буд. 997 кв. 0, Мелітополь, 84556",+380 (26) 964-08-43,bazavluchenkoleon@example.org
Рудик,Захар,Назарович,Чоловік,1999-12-12,Диригент,місто Лохвиця,"сквер Костанді 3-й, буд. 252 кв. 7, Борзна, 78393",028 402-80-84,sfomenko@example.com
Аронець,Лесь,Романович,Чоловік,1977-01-30,Парфюмер,місто Первомайськ,"набережна Преображенська, буд. 582 кв. 7, Білопілля, 35247",+380 23 054-13-33,xkanivets@example.net
Дацюк,Христина,Данилівна,Жінка,1951-11-28,Фермер,місто Сімферополь,"площа Депутатський, буд. 870 кв. 129, Горішні Плавні, 91235",+380 17 351 67 65,nataliiagoliash@example.net
Тесленко,Назар,Назарович,Чоловік,1971-04-17,Письменник,хутір Таврійськ,"сквер Єфімова, буд. 2, Славута, 81955",+380 38 894 46 36,vasyl15@example.org
Байда,Степан,Олександрович,Чоловік,1964-09-29,Петрограф,місто Чистякове,"шосе Соляний 1-й, буд. 29, Белз, 73354",+380 20 529 46 29,zatovkaniukkhrystyna@example.net
Ґжицький,Устим,Костянтинович,Чоловік,1999-07-06,Конструктор,село Радехів,"проспект Привозна, буд. 599, Єнакієве, 14762",+380 (55) 081-78-22,demyd31@example.com
Кащенко,Пилип,Тарасович,Чоловік,1974-02-22,Педагог,місто Шостка,"площа Декабристів, буд. 80 кв. 51, Новоукраїнка, 85586",335-34-51,ademianenko@example.net
Килимник,Орина,Романівна,Жінка,1939-02-02,Кінолог,місто Трускавець,"парк Лиманчик 2-й Лінія 1-ша, буд. 402 кв. 57, Синельникове, 54381",958 64 25,kskopenko@example.net
Артимишин,Панас,Костянтинович,Чоловік,1955-01-18,Візажист,місто Нововолинськ,"вулиця Олександра Блока, буд. 30, Овруч, 76670",078 654-73-36,avrelii16@example.org
Пустовіт,Давид,Ілліч,Чоловік,1974-09-20,Кінорежисер,хутір Чигирин,"проспект Семафорний, буд. 66 кв. 910, Берегове, 69843",007 034-21-02,iustymprokopovych@example.org
Данилюк,Хома,Максимович,Чоловік,1955-01-26,Архітектор,хутір Соледар,"проспект Михайла Божія, буд. 0, Ходорів, 50661",+380 55 963 16 57,tymofii01@example.net
Ващенко,Гордій,Ілліч,Чоловік,1952-02-28,Підприємець,місто Бершадь,"сквер Елеваторна, буд. 5, Кропивницький, 60902",+380 (84) 191-46-85,iemelianenkoparmen@example.com
Приймак,Анастасія,Назарівна,Жінка,1987-03-06,Фармацевт,хутір Звенигородка,"сквер Короленка, буд. 593, Верхівцеве, 97842",120 12 71,myronkonoplia@example.org
Ребрик,Єва,Ярославівна,Жінка,1991-01-12,Актор,селище Теплодар,"провулок Прохоровський, буд. 282 кв. 11, Полтава, 08500",+380 (65) 722-23-96,violettadevdiuk@example.org
Власюк,Болеслав,Романович,Чоловік,1967-12-13,Водій,село Ямпіль,"вулиця Омська, буд. 6, Кілія, 75299",830-38-17,varonets@example.org
Шеремета,Захар,Назарович,Чоловік,1958-06-25,Економіст,хутір Залізне,"провулок Михайла Грушевського, буд. 47 кв. 64, Хрестівка, 62243",110-42-80,ieremenkosviatoslav@example.org
Атаманчук,Леонтій,Олександрович,Чоловік,2006-01-22,Петрограф,місто Яремче,"провулок ім. К.Г. Паустовського, буд. 7 кв. 33, Щолкіне, 64357",+380 53 518 73 60,stefan74@example.net
Петлюра,Олександр,Назарович,Чоловік,2001-08-18,Електрик,село Великі Мости,"узвіз Казковий, буд. 394, Тисмениця, 16258",055 93 19,sishchak@example.net
Ґерус,Григорій,Романович,Чоловік,1967-06-24,Етнограф,селище Снятин,"парк Патріотична, буд. 37 кв. 50, Конотоп, 74563",067 065 20 97,tereshchuksviatoslava@example.net
Литвин,Христина,Степанівна,Жінка,1965-06-15,Патологоанатом,місто Гайсин,"провулок Косий, буд. 594, Вознесенськ, 06090",+380 85 585-43-00,valentynakabaliuk@example.org
Конопля,Станіслав,Ілліч,Чоловік,1958-02-23,Промисловець,селище Алмазна,"сквер Леваневського, буд. 8, Носівка, 63535",050 461 44 47,hfareniuk@example.net
Ірванець,Марʼяна,Ярославівна,Жінка,2007-09-23,Електрик,хутір Яремче,"сквер Цементний, буд. 4, Березань , 15415",393 11 22,zhuravelpetro@example.net
Хмара,Одарка,Ярославівна,Жінка,1955-08-29,Музикант,хутір Свалява,"шосе Амундсена, 2-й, буд. 2 кв. 78, Вознесенівка, 03234",768-99-22,davymukaoleksa@example.org
Мазепа,Ліза,Іллівна,Жінка,1943-06-13,Хореограф,село Путивль,"сквер Лиманчик 2-й Лінія 11-та, буд. 28 кв. 66, Біла Церква, 01037",077 044-73-54,bdanko@example.com
Затовканюк,Леон,Назарович,Чоловік,2004-11-01,Візажист,місто Кременчук,"площа Проектований 4-й, буд. 11, Христинівка, 22248",056 013 80 38,deriazhnaanton@example.net
Філіпенко,Марина,Павлівна,Жінка,1938-07-19,Епідеміолог,селище Зугрес,"площа Асташкіна, буд. 9, Шостка, 31997",+380 (77) 896-56-87,davyd93@example.net
Скорик,Анжела,Максимівна,Жінка,1976-01-13,Каскадер,село Святогірськ,"набережна Геранієва, буд. 5 кв. 86, Новоазовськ, 50649",+380 33 588 09 04,vasylyna83@example.org
Цимбалюк,Амвросій,Святославович,Чоловік,1960-07-15,Маркетолог,селище Галич,"вулиця Баштанна, буд. 244, Куп'янськ, 50692",332 15 02,hlib38@example.net
Ванченко,Ярослава,Данилівна,Жінка,1996-06-09,Соціолог,місто Кременець,"парк Курганська, буд. 39 кв. 6, Дрогобич, 08474",+380 69 183-05-96,datsenkosolomiia@example.com
Цимбал,Віолетта,Степанівна,Жінка,1944-09-15,Патологоанатом,селище Ромни,"набережна Проектований 3-й, буд. 243, Ямпіль, 45518",+380 (52) 173-23-27,valeriisahal@example.org
Сагаль,Теодор,Юрійович,Чоловік,1966-03-22,Стиліст,селище Ясинувата,"сквер Володимира Хавкіна, буд. 561, Виноградів, 92576",003 407 30 65,eduard06@example.org
Туркало,Вадим,Ілліч,Чоловік,1960-08-29,Геолог,селище Коростень,"площа Лінія 53-тя, буд. 56 кв. 1, Зборів, 61208",633-04-27,hzabila@example.com
Чекалюк,Вʼячеслав,Павлович,Чоловік,1983-07-08,Стоматолог,місто Миронівка,"набережна Орликова, буд. 69, Берестечко, 45621",000 258 51 94,avdieienkoarkadii@example.com
Кащенко,Гордій,Тарасович,Чоловік,1987-10-17,Паралегал,селище Тернопіль,"узвіз Бодаревського, буд. 660, Пустомити, 07592",+380 18 324-88-51,asaulavadym@example.org
Андрієнко,Валерій,Павлович,Чоловік,1985-05-07,Фізик,місто Деражня,"набережна Поштовий, буд. 6 кв. 7, Стебник, 43576",076 593 19 19,rkalenychenko@example.net
Якимчук,Богуслав,Максимович,Чоловік,1978-11-27,Дипломат,хутір Монастирище,"парк Південно-Санаторний, буд. 68, Ананьїв, 62054",+380 (84) 757-40-72,tarasenkoparmen@example.net
Шовкопляс,Ада,Романівна,Жінка,1995-03-01,Ботанік,селище Нова Каховка,"парк Вокзальний, буд. 552 кв. 3, Кагарлик, 67028",021 359 56 81,xhaidenko@example.net
Засядько,Ігор,Олександрович,Чоловік,1942-05-30,Редактор,місто Комарно,"узвіз Левітана, буд. 02, Голубівка, 08259",041 673 27 72,sfranchuk@example.com
Височан,Едита,Ярославівна,Жінка,2003-04-07,Публіцист,місто Бобринець,"вулиця Лузанівський 1-й, буд. 6 кв. 8, Новомосковськ, 39023",045 224-89-45,ada87@example.net
Яременко,Ілля,Романович,Чоловік,1995-08-27,Дантист,селище Новоазовськ,"узвіз Госпітальний, буд. 743 кв. 353, Зоринськ, 79917",+380 48 629-85-54,iaroslavadutka@example.com
Бездітко,Алла,Іллівна,Жінка,1978-08-15,Бібліотекар,місто Привілля,"сквер Південна дорога, буд. 14 кв. 661, Кіцмань, 80552",065-45-35,medvedenkomarta@example.net
Салій,Мирослав,Степанович,Чоловік,1982-02-03,Головний меркшейдер,селище Маріуполь,"шосе Кибальчича, буд. 15, Рахів, 19497",070-74-17,ncharnysh@example.org
Дубас,Данна,Назарівна,Жінка,1944-04-09,Гірник,місто Рава-Руська,"набережна Ботанічний, буд. 30 кв. 667, Копичинці, 96816",+380 94 932-41-80,avhustyntkach@example.org
Лагода,Дан,Ілліч,Чоловік,1946-01-20,Мірошник,селище Хрестівка,"узвіз 11-та ст. Великого Фонтану пляж, буд. 1, Жданівка, 74182",094-46-88,batihmykhailyna@example.net
Дубенко,Дан,Назарович,Чоловік,1985-05-23,Секретар,місто Монастириська,"площа Китобійний 2-й, буд. 985, Шостка, 35581",+380 (26) 122-30-93,stepan47@example.org
Ткаченко,Аарон,Степанович,Чоловік,1981-05-16,Психолог,хутір Долина ,"провулок Рівності, буд. 4 кв. 7, Іллінці, 43469",+380 04 042-26-05,dmytrozaichenko@example.net
Деряжний,Вадим,Ілліч,Чоловік,1981-03-30,Драматург,місто Кременчук,"парк Миколи Огренича, буд. 703, Дружківка, 43130",+380 46 489-54-84,yzatula@example.net
Філіпенко,Роксолана,Святославівна,Жінка,1943-10-16,Євнух,хутір Новогродівка,"шосе Канатний, буд. 273, Бібрка, 84686",786-84-02,leontiivlasiuk@example.net
Вахній,Юхим,Степанович,Чоловік,1967-07-15,Кур'єр,селище Родинське,"парк Лїнія 1-ша, буд. 99, Дружківка, 94681",+380 (30) 810-20-29,rostyslavhutsuliak@example.net
Дашенко,Назар,Юрійович,Чоловік,1953-07-11,Льотчик,хутір Мостиська,"площа Пересипська 2-га, буд. 8, Острог, 05863",034 441 24 87,olehdubas@example.net
Величко,Руслан,Костянтинович,Чоловік,1950-08-09,Мистецтвознавець,місто Арциз,"узвіз Суднобудівний, буд. 9 кв. 298, Світлодарськ, 08161",258 96 37,ielyseizinchenko@example.net
Гук,Августин,Назарович,Чоловік,1981-02-17,Слідчий,місто Камінь-Каширський,"провулок Яхненка Семена, буд. 03, Копичинці, 68190",308-58-93,terezadzhun@example.org
Наливайко,Ярослава,Костянтинівна,Жінка,1956-02-20,Професор,місто Ізмаїл,"сквер Артезіанська, буд. 74, Алушта, 82834",010 612-76-06,khomykvasylyna@example.org
Андрійчук,Сніжана,Олександрівна,Жінка,1980-06-14,Астроном,селище Перевальськ,"площа Достоєвського, буд. 180 кв. 764, Коломия, 60031",+380 63 785-95-30,mykhailynahutsuliak@example.net
Баштан,Алевтин,"Данилович, Олександрович, Ярославович, Борисович, Тарасович, Євгенович",Чоловік,2007-07-02,Графік,село Здолбунів,"парк Миколи Гефта, буд. 6, Подільськ, 92560",384 42 06,solomiiaovcharenko@example.com
Рева,Світлана,Святославівна,Жінка,1983-10-24,Секретар,село Кременець,"провулок Олександра Невського 5-й, буд. 6 кв. 1, Долина , 84364",238 49 92,ebashtan@example.net
Харченко,Ганна,Степанівна,Жінка,1990-01-05,Електрик,село Роздільна,"парк Чернігівська, буд. 9 кв. 1, Кам'янське, 98915",073 101 40 45,datsiukrozaliia@example.net
Таран,Соломон,Тарасович,Чоловік,1943-06-22,Ґрунтознавець,село Амвросіївка,"парк Рачкова, буд. 528 кв. 160, Гірське, 06637",298 38 33,dotsenkovarfolomii@example.com
Фастенко,Світлана,Тарасівна,Жінка,1953-09-12,Електрослюсар,місто Сєвєродонецьк,"сквер Лінія 26-та, буд. 54 кв. 603, Буча, 67910",+380 (44) 215-11-79,iukhym94@example.org
Цимбал,Богданна,Євгенівна,Жінка,1968-01-07,Піаніст,село Заліщики,"парк Верещагіна, буд. 99, Кривий Ріг, 41065",+380 72 644-15-69,rbabiichuk@example.org
Пустовіт,Лесь,Романович,Чоловік,1947-07-30,Швачка,селище Зимогір'я,"парк Пересипська 1-ша, буд. 08, Харків, 24337",630-96-81,bhydenkooksana@example.com
Карпенко,Володимира,Святославівна,Жінка,1943-07-02,М'ясник,місто Благовіщенське,"проспект Водопровідний 3-й, буд. 7, Тернопіль, 81850",132 64 17,vakhniivolodymyr@example.net
Чалий,Роман,Назарович,Чоловік,1995-02-08,Клавішник,хутір Великі Мости,"вулиця 5-та Лінія 6-й ст. Люстдорфської дороги, буд. 23, Добропілля, 96781",+380 14 164-87-10,qakulenko@example.com
Рудик,Стефан,Назарович,Чоловік,1972-09-21,Диригент,село Дрогобич,"вулиця Удільний, буд. 63 кв. 870, Чернівці, 01374",+380 90 221 09 51,mmatviienko@example.com
Фастенко,Святослав,Юрійович,Чоловік,2000-12-18,Конструктор,хутір Попасна,"провулок Перепечка, буд. 70 кв. 55, Тлумач, 22240",+380 09 803-57-55,boryslav48@example.com
Фесенко,Марʼяна,Павлівна,Жінка,1960-09-02,Акушер,місто Ровеньки,"провулок Рівності 1-й, буд. 3 кв. 41, Теребовля, 41450",315 30 82,venedykt14@example.org
Гречко,Ярослава,Олександрівна,Жінка,1971-07-10,Менеджер,місто Мар'їнка,"набережна Строганов міст, буд. 7 кв. 359, Кремінна, 45489",328 17 46,irynatsiupa@example.net
Засуха,Марта,Анатоліївна,Жінка,1967-07-05,Патологоанатом,хутір Лебедин,"площа Грецький, буд. 90, Борщів, 64522",949-79-82,yopanasenko@example.net
Верменич,Ростислав,Назарович,Чоловік,1998-05-01,Математик,місто Козятин,"проспект Котляревського, буд. 19, Рогатин, 86058",019 467 46 52,ielysei45@example.net
Дзюба,Георгій,Юрійович,Чоловік,1981-05-23,Бібліотекар,село Василівка ,"парк Топольського, буд. 4 кв. 712, Глухів, 03087",045 734 56 29,iustym59@example.org
Фоменко,Павло,"Данилович, Олександрович, Ярославович, Борисович, Тарасович, Євгенович",Чоловік,1959-11-28,Машиніст,місто Карлівка,"узвіз Навігаційний, буд. 1 кв. 58, Рудки, 48910",381 43 03,lukianfilipenko@example.org
Лукаш,Ольга,Олександрівна,Жінка,1988-04-01,Фрілансер,місто Бердянськ,"проспект Амбулаторний 1-й, буд. 45 кв. 553, Джанкой, 04649",+380 69 612-18-56,haidaiolha@example.net
Сиротенко,Августин,Романович,Чоловік,1957-09-22,Адвокат,село Нова Каховка,"проспект Вузький, буд. 649 кв. 15, Одеса, 68504",+380 73 136 80 99,bshchors@example.org
Саєнко,Єлисей,Юрійович,Чоловік,1960-08-06,Золотар,місто Гайсин,"узвіз Приморський, буд. 9, Балта, 47677",+380 99 939 08 57,danylo75@example.net
Дзиндра,Давид,"Данилович, Олександрович, Ярославович, Борисович, Тарасович, Євгенович",Чоловік,1986-09-24,Бізнесмен,хутір Бобринець,"проспект Горизонтальна, буд. 85, Молодогвардійськ, 09791",+380 71 623-15-70,anastasiia77@example.com
Рябошапка,Амвросій,Максимович,Чоловік,2006-08-29,Льотчик,село Кривий Ріг,"провулок Городня, буд. 345, Ананьїв, 23611",+380 (82) 196-71-38,serhii23@example.org
Короленко,Тетяна,Ярославівна,Жінка,1962-01-05,Музикознавець,місто Бахчисарай,"вулиця Кримський, буд. 6 кв. 78, Южноукраїнськ, 64992",249 00 01,riabetsnataliia@example.org
Ребрик,Роман,Костянтинович,Чоловік,1956-07-13,Каскадер,хутір Алчевськ,"вулиця Миколи Огренича, буд. 0 кв. 9, Городенка, 49387",+380 (54) 739-56-25,haidadaryna@example.net
Єресько,Семен,Тарасович,Чоловік,1963-03-12,Дерун,селище Гірське,"парк Лазурний 4-й, буд. 34, Жданівка, 48677",+380 (76) 712-78-92,zabarnyiedyta@example.org
Комар,Ірена,Павлівна,Жінка,1939-10-15,Льотчик,хутір Ланівці,"проспект Трудова, буд. 027, Чугуїв, 42529",042 024-60-50,panteleimon88@example.com
Шиян,Олег,Ілліч,Чоловік,1945-09-23,Шериф,місто Миронівка,"вулиця Амурська, буд. 74, Каховка, 86996",004 294 18 99,lukiantalan@example.net
Єрченко,Галина,Романівна,Жінка,1950-03-18,Реставратор,хутір Рені,"шосе Газова, буд. 192, Горохів, 14390",196 38 67,bohdan64@example.com
Парасюк,Сніжана,Ярославівна,Жінка,2005-01-27,Юрист,село Українськ,"вулиця Дача Ковалевського, буд. 525 кв. 5, Покровськ, 13829",041 897 59 20,bohdanshchors@example.com
Конопля,Василина,Євгенівна,Жінка,1988-10-09,Електрик,селище Кролевець,"узвіз Академіка Ясиновського, буд. 123, Українськ, 92568",109 77 61,tiahnybokvolodymyra@example.com
Рябченко,Анастасія,Данилівна,Жінка,1999-10-31,Льотчик,місто Володимир-Волинський,"вулиця Восьмого Березня Лінія 5-та, буд. 05 кв. 01, Перемишляни, 03538",+380 (17) 371-35-44,hupalovenedykt@example.org
Верменич,Пріска,Олександрівна,Жінка,1985-12-22,Головний меркшейдер,село Остер ,"набережна Пересипська 5-та, буд. 277 кв. 066, Винники, 85575",010 988-44-37,gneporozhnii@example.org
Балабан,Єфрем,Святославович,Чоловік,1968-10-19,Медик,місто Вільнянськ,"сквер Миколи Плигуна, буд. 64 кв. 9, Чуднів, 13768",070 136 96 36,zkorpaniuk@example.org
Єрмоленко,Гаврило,Олександрович,Чоловік,1970-10-14,Програміст,село Привілля,"сквер Хвойний, буд. 5 кв. 2, Моспине, 93816",920 61 82,oryna29@example.net
Бабенко,Гордій,Романович,Чоловік,2002-07-14,Економіст,село Ямпіль,"набережна Дорожня, буд. 3, Ровеньки, 39263",+380 (49) 823-09-68,huziioryna@example.com
Медведенко,Адам,Назарович,Чоловік,1989-06-07,Доцент,селище Берестечко,"узвіз Самодіяльна, буд. 614, Коломия, 66443",+380 92 976-43-31,edytaandriishyn@example.net
Носаченко,Камілла,Данилівна,Жінка,1990-04-24,Фотограф,місто Сміла,"площа Монастирський, буд. 09, Камінь-Каширський, 74654",024 487 09 98,khomykmariia@example.com
Александренко,Маруся,Євгенівна,Жінка,1988-02-04,Штукатур,хутір Надвірна,"шосе Висока, буд. 26, Броди, 38685",+380 36 104 96 42,shchyrytsiapanas@example.net
Романчук,Едита,Тарасівна,Жінка,1975-01-10,Кухар,хутір Нікополь,"парк Маріїнська, буд. 526 кв. 1, Новоукраїнка, 05773",090 15 60,danna09@example.org
Бабариченко,Макар,Олександрович,Чоловік,1997-05-24,Випробувач,селище Ірміно,"вулиця Пересипська 5-та, буд. 34, Каховка, 81771",194 07 32,kyrylokalchenko@example.net
Свистун,Мілена,Назарівна,Жінка,1969-02-04,Фізик,селище Ніжин,"шосе Василя Симоненка, буд. 2, Канів, 42539",+380 42 231-41-35,zvashchenko-zakharchenko@example.net
Вишивана,Данна,Іллівна,Жінка,1992-03-30,Головний меркшейдер,місто Липовець,"сквер Травневий, буд. 286, Верхньодніпровськ, 86906",054 277-74-56,pirvanets@example.com
Яремко,Орест,Юрійович,Чоловік,1939-12-25,Мовознавець,місто Кипуче,"сквер Аеропортівський 3-й, буд. 70 кв. 333, Чортків, 95598",095 677 42 87,zakharkhmara@example.net
Затула,Борислав,Романович,Чоловік,1954-04-01,Епідеміолог,місто Монастириська,"шосе Толбухіна, буд. 37 кв. 07, Нововолинськ, 18655",+380 (41) 297-17-56,medvedenkovenedykt@example.org
Журба,Амалія,Ярославівна,Жінка,1955-06-19,Програміст,місто Мукачево,"узвіз Чорноморський 13-й, буд. 619, Хотин, 75888",+380 64 193-73-50,sieromenko@example.com
Аронець,Демʼян,Костянтинович,Чоловік,1987-05-07,Кінолог,хутір Вашківці,"шосе Уральська, буд. 51, Гуляйполе, 33866",+380 (04) 317-68-45,oryna81@example.net
Хмара,Роксолана,Олександрівна,Жінка,1971-03-14,Антрополог,місто Малин,"набережна Уютна, буд. 46, Сторожинець, 68882",+380 70 695-77-74,usimashkevych@example.org
Бандурка,Орест,Ілліч,Чоловік,1949-03-29,Музикант,село Нова Каховка,"узвіз Стельмаха, буд. 29, Гадяч, 45388",323 52 98,okhrim19@example.net
Фурс,Мирон,Павлович,Чоловік,1977-01-30,Фармацевт,село Генічеськ,"шосе Докова, буд. 992, Бережани, 69923",636 72 66,artemenkotereza@example.com
Примаченко,Наталія,Назарівна,Жінка,1949-07-14,Каскадер,хутір Радехів,"провулок Лиманна, буд. 02, Хрестівка, 72090",+380 90 644 92 00,bohdanvasylechko@example.com
Гайдай,Єлисавета,Ярославівна,Жінка,1970-10-30,Археолог,село Костянтинівка,"вулиця Купріна, буд. 50 кв. 167, Кальміуське, 46067",+380 37 756-20-52,forlyk@example.net
Баранець,Михайло,Романович,Чоловік,1987-07-08,Єгер,хутір Миколаїв,"провулок Старорізнична, буд. 141 кв. 08, Косів, 92983",647 48 50,priskashmorhun@example.org
Архимович,Лариса,Іллівна,Жінка,1939-04-23,Дипломат,село Біла Церква,"набережна Луценка Івана, буд. 288 кв. 600, Молодогвардійськ, 48932",425 83 42,hryhoriicharnysh@example.net
Яценко,Ілля,Романович,Чоловік,2000-08-12,Правник,місто Коростишів,"шосе Лінія 55-та, буд. 46, Євпаторія, 66602",+380 (53) 263-55-13,omelian03@example.net
Лубенець,Сергій,Святославович,Чоловік,1953-07-08,Маркетолог,село Ірміно,"парк Умова, буд. 385, Охтирка, 39831",+380 23 779 37 38,atroshchenkovadym@example.net
Шаблій,Артем,Максимович,Чоловік,1996-02-10,Літературознавець,селище Корець,"парк Сільська, буд. 640 кв. 5, Скалат, 89122",+380 39 754-81-11,holoborodkoiosyp@example.org
Цісик,Альбіна,Павлівна,Жінка,1952-03-14,Історик,селище Арциз,"парк Зелена балка, буд. 8 кв. 8, Немирів, 29414",099 738 74 91,stepanfesenko@example.org
Кармалюк,Дмитро,Олександрович,Чоловік,2005-11-21,Етнограф,місто Глобине,"провулок Газова, буд. 254, Моспине, 47011",098 204 65 62,qtsisyk@example.net
Ткач,Адам,Степанович,Чоловік,1981-06-12,Психолог,хутір Дунаївці,"вулиця Степана Разіна, буд. 959 кв. 460, Хорол , 27867",806 73 85,khuzii@example.org
